,date,startup_name,industry_vertical,subvertical,city,investor,investment_type,amount,year,month
0,2020-09-01,byju's,e-tech,e-learning,bengaluru,tiger global management,private equity,16594000000.0,2020,9
1,2020-01-13,shuttl,transportation,app based shuttle service,gurgaon,susquehanna growth equity,series c,667775250.18,2020,1
2,2020-09-01,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,series b,1523234614.2,2020,9
3,2020-02-01,wealth bucket,fintech,online investment,new delhi,vinod khatumal,pre-series a,248910000.0,2020,2
4,2020-02-01,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,seed,149346000.0,2020,2
5,2020-01-13,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,series a,746730000.0,2020,1
6,2020-10-01,zomato,hospitality,online food delivery platform,gurgaon,ant financial,private equity,12445500000.0,2020,10
7,2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,series a,497820000.0,2019,12
8,2019-06-12,cardekho,e-commerce,automobile,gurgaon,ping an global voyager fund,series d,5807900000.0,2019,6
9,2019-03-12,dhruva space,aerospace,satellite communication,bengaluru,"mumbai angels, ravikanth reddy",seed,4148500000.0,2019,3
10,2019-12-13,rivigo,technology,logistics services and solutions,gurgaon,"saif partners, spring canter investment ltd.",series f,1659400000.0,2019,12
11,2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,"paytm, nptk, sabre partners and neoplux",series c,995640000.0,2019,12
12,2019-12-16,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,series e,2489100000.0,2019,12
13,2019-12-16,incred,finance,non-banking financial company,mumbai,,debt funding,489523000.0,2019,12
14,2019-12-14,trell,video,experience discovery platform,bengaluru,ruizheng investment,seed,165940000.0,2019,12
15,2019-11-12,rein games,gaming,real money based gaming startup,noida,manipal education and medical group (memg),seed,4148500000.0,2019,11
16,2019-12-20,lenskart.com,e-commerce,online eyewear shopping portal,faridabad,softbank group vision fund,series g,19166070000.0,2019,12
17,2019-11-13,freshworks,software,business and customer engagement tools,san francisco,"sequoia, capitalg, accel",series h,12445500000.0,2019,11
18,2019-11-14,misters,health and wellness,men's health and wellness brand,gurgaon,"sauce.vc, rainforest ventures",series b,40323420.0,2019,11
19,2019-11-13,sunstone eduversity,education,elearning,gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",seed,124455000.0,2019,11
20,2019-11-17,burger singh,food and beverage,indian burger brand,gurgaon,rb investments,venture,,2019,11
21,2019-11-18,healthians,health and wellness,healthcare services,gurgaon,"dg daiwa ventures, dg incubation",series b,995640000.0,2019,11
22,2019-11-15,ninjacart,b2b marketing,agritech,bengaluru,trifecta capital advisors,debt funding,2157220000.0,2019,11
23,2019-11-20,aye finance,fintech,financial services to msmes,gurgaon,fintech,debt funding,1444612657.05,2019,11
24,2019-12-11,supergaming,video games,social gaming platform,pune,dream incubator,seed,107861000.0,2019,12
25,2019-11-20,clumio,saas,recovery software,san jose,"altimeter capital, sutter hill ventures",series c,11200950000.0,2019,11
26,2019-11-11,ebikego,last mile transportation,electric bike rental,amritsar,startup buddy,seed,24891000.0,2019,11
27,2019-11-19,digital mall asia,e-commerce,virtual e-commerce platform,delhi,amour infrastructure,seed,18253400000.0,2019,11
28,2019-11-18,medikabazaar,healthcare,b2b platform for medical supplies,mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",series b,1310926000.0,2019,11
29,2019-11-15,vogo automotive,last mile transportation,scooter sharing app,kormangala,"matrix partners, stellaris venture partners, kalaari capital",series b,23480510000.0,2019,11
30,2019-11-19,furtados school of music,education,music education,tulangan,ian fund and dsg consumer partners,,16594000000.0,2019,11
31,2019-11-25,paytm,fintech,mobile wallet,noida,vijay shekhar sharma,funding round,82970000000.0,2019,11
32,2019-04-10,dunzo,customer service,delivery service,bengaluru,lightbox,series d,3733650000.0,2019,4
33,2019-02-10,udaan,b2b,business development,bengaluru,"altimeter capital, dst global",series d,48537450000.0,2019,2
34,2019-10-21,the man company,consumer goods,beauty and grooming,gurgaon,ayushmann khurana,corporate round,,2019,10
35,2019-05-09,fpl technologies,fintech,financial services,pune,"matrix partners india, sequoia india",maiden round,373365000.0,2019,5
36,2019-04-09,cashflo,fintech,invoice discounting platform and sme lending marketplace,mumbai,saif partners,series a,273801000.0,2019,4
37,2019-04-09,digital f5,"advertising, marketing",digital marketing firm,mumbai,tiw private equity,private equity,497820000.0,2019,4
38,2019-04-09,3rdflix,saas,education technology,hyderabad,exfinity venture partners,pre-series a,414850000.0,2019,4
39,2019-04-09,75f,iot,building automation system,burnsville,breakthrough energy ventures,series a,1493460000.0,2019,4
40,2019-04-09,myelin foundry,information technology,deep-technology,bengaluru,endiya partners,seed,82970000.0,2019,4
41,2019-04-09,atomberg technology,consumer technology,"consumer electronics, home appliances",mumbai,a91 partners,series a,829700000.0,2019,4
42,2019-04-09,goqii,health and wellness,wearable fitness bands,menlo park,bennett coleman and company ltd (bccl),series c,37336500000.0,2019,4
43,2019-03-09,vyapar app,accounting,mobile-based accounting software,bengaluru,"india quotient, axilor ventures",series a,414850000.0,2019,3
44,2019-01-08,cardekho,e-commerce,automotive,gurgaon,sc gg india mobility holdings llc,series c,1659400000.0,2019,1
45,2019-01-08,progcap,finance,supply chain management,new delhi,sequoia india,series a,414850000.0,2019,1
46,2019-01-08,mypetrolpump,retail,fuel delivery,bengaluru,,seed,132752000.0,2019,1
47,2019-01-08,alteria capital,finance,vc funds,mumbai,"azim premji, binny bansal",venture,11615800000.0,2019,1
48,2019-01-08,pine labs,information technology,last-mile retail transaction technology,noida,pine labs pte ltd,corporate round,3159497600.0,2019,1
49,2019-12-08,meesho,e-commerce,social commerce,bengaluru,naspers,series d,10371250000.0,2019,12
50,2019-08-13,cars24,e-commerce,car retail,gurgaon,ms dhoni,series d,912670000.0,2019,8
51,2019-08-13,uniphore,customer service platform,conversational ai,palo alto,march capital partners,series c,4231470000.0,2019,8
52,2019-08-23,zendrive,automotive,road safety analytics,san francisco,xl innovate,series b,3069890000.0,2019,8
53,2019-08-23,lo! foods,consumer goods,low carb food for diabetics,bengaluru,"rashmi daga (founder, freshmenu), raveen sastry (co-founder, myntra) and mitesh shah (finance chief, bookmyshow)",seed,41485000.0,2019,8
54,2019-08-23,tala,fintech,digital lending platform,santa monica,rps ventures,series d,9126700000.0,2019,8
55,2019-08-22,indwealth,fintech,wealth management,gurgaon,tiger global management,venture,1244550000.0,2019,8
56,2019-08-21,hungerbox,food and beverage,b2b foodtech,bengaluru,one97 communications ltd.,series c,546772300.0,2019,8
57,2019-08-23,admitkard,edtech,university admissions,noida,growth dna,seed,82970000.0,2019,8
58,2019-08-19,mishry reviews,services,product review,gurgaon,vir sanghvi,series a,,2019,8
59,2019-08-19,grofers,e-commerce,grocery delivery,gurgaon,softbank group vision fund,series f,5807900000.0,2019,8
60,2019-08-27,rapido bike taxi,transportation,bike taxi,bengaluru,westbridge capital,series b,323583000000.0,2019,8
61,2019-02-07,renewbuy,finance,auto insurance,gurgaon,"lok capital, iifl wealth",series b,1576430000.0,2019,2
62,2019-02-07,atlan,information technology,big data,singapore,waterbridge ventures,pre-series a,207425000.0,2019,2
63,2019-01-07,wizcounsel,compliance,consulting,new delhi,kapil dev,angel,12030650.0,2019,1
64,2019-03-07,ola cabs,transport,cabs,kormangala,"dig investment ab, deshe holdings, samih toukan and hussam khoury",series j,82970000.0,2019,3
65,2019-01-07,uniphore,artificial intelligence,speech recognition,taramani,march capital partners,series c,3159497600.0,2019,1
66,2019-04-07,daalchini technologies,food and beverage,digital vending machine,new delhi,artha venture,seed,41485000.0,2019,4
67,2019-10-07,byju's,edtech,education,bengaluru,qatar investment authority,private equity,12445500000.0,2019,10
68,2019-11-07,moglix,e-commerce,industrial tools and equipments,singapore,"composite capital management, sequoia capital india, tiger global management",series d,4978200000.0,2019,11
69,2019-10-07,ezyhaul,tech,logistics,singapore,undisclosed,series b,1327520000.0,2019,10
70,2019-10-07,indus os,tech,smartphone operating system,mumbai,ventureast,series b,477077500.0,2019,10
71,2019-10-07,healthassure,health care,primary care medical network,mumbai,blume ventures,series a,207425000.0,2019,10
72,2019-09-07,house of masaba,luxury label,clothes and apparel,mumbai,binny bansal,series a,82970000.0,2019,9
73,2019-08-07,board infinity,edtech,full-stack career platform,chembur,multiple angel investors,angel,26517626.85,2019,8
74,2019-05-06,nobroker,e-commerce,real estate,bengaluru,general atlantic,series c,4231470000.0,2019,5
75,2019-04-06,bira91,food and beverage,brewery,new delhi,anicut capital,debt funding,829700000.0,2019,4
76,2019-03-06,fabhotels,e-commerce,hospitality,gurgaon,"goldman sachs, accel and qualcomm",,405721270.55,2019,3
77,2019-03-06,avail finance,finance,fintech,bengaluru,matrix partners,series a,746730000.0,2019,3
78,2019-04-06,bharatpe,finance,fintech,new delhi,insight partners,series b,6222750000.0,2019,4
79,2019-04-06,recykal,waste management service,optimization,hyderabad,"triton investment advisors, pidilite industries director ajay parekh",pre-series a,2157220000.0,2019,4
80,2019-03-06,agara labs,deep-tech,artificial intelligence,bengaluru,blume ventures and rtp global,pre-series a,207425000.0,2019,3
81,2019-06-06,sistema.bio,agriculture,hybrid reactor biodigestor,nairobi,"shell foundation, dila capital, engie rde fund, ecoenterprise fund, edfimc (electrifi), endeavor catalyst fund, cocapital, triodos, alpha mundi, and lendahand",,227257707.4,2019,6
82,2019-06-06,chakr innovation,energy,renewable energy,new delhi,ian fund,series a,2157220000.0,2019,6
83,2019-06-06,pratilipi,digital media,e-books,bengaluru,qiming venture partners,series b,1253635215.0,2019,6
84,2019-10-06,bolo app,digital media,video platform,bengaluru,nexus venture partners,seed,35693694.0,2019,10
85,2019-10-06,okcredit,fintech,financial services,haryana,tiger global management,series a,1286035000.0,2019,10
86,2019-06-06,biz2credit,fintech,online lending platform,new york,westbridge capital,series b,4314440000.0,2019,6
87,2019-08-06,vogo automotive,transportation,dockless scooter rental company,karnataka,alteria capital,debt funding,297364480.0,2019,8
88,2019-04-06,leegality,services,digital documentation,mumbai/bengaluru,mumbai angels,series a,282098000.0,2019,4
89,2019-06-05,ola electric,transport,cabs,bengaluru,tata sons,series a,,2019,6
90,2019-06-05,saahas zero waste,waste management service,optimization,bengaluru,c4d partners,venture,72067742.0,2019,6
91,2019-05-05,styledotme,e-commerce,fashion and shopping,delhi,"indian angel network and other angel investors, innov8 founder ritesh malik, josh talks founders supriya paul and shobha banga, and former hero corporate president rohit chanana",bridge,,2019,5
92,2019-01-05,blackbuck,transport,logistics,bengaluru,"goldman sachs investment partners and silicon valley-based accel, wellington, sequoia capital, b capital, lightstreet, sands capital and international finance corporation,",series d,12445500000.0,2019,1
93,2019-02-05,zenoti,saas,beauty and wellness industry,hyderabad,tiger global management,series c,4148500000.0,2019,2
94,2019-05-28,ather energy,automobile,electric vehicle,bengaluru,sachin bansal,series c,4231470000.0,2019,5
95,2019-05-28,freshvnf,agtech,fresh agriculture produces,mumbai,equanimity ventures,seed,11615800000.0,2019,5
96,2019-05-30,glowroad,e-commerce,retail,bengaluru,"korea investment partners, vertex ventures",series b,954155000.0,2019,5
97,2019-05-31,bira91,food and beverage,brewery,new delhi,sixth sense ventures,series b,464632000.0,2019,5
98,2019-04-16,kuvera,finance,wealth management,bengaluru,eight roads,series a,3733650000.0,2019,4
99,2019-12-04,medlife,e-commerce,online medicine,bengaluru,prasid uno family trust,private equity,1410490000.0,2019,12
100,2019-10-04,kabadiwala,e-commerce,waste management,bhopal,"unilever, beehive capital advisor, abcom investments, parekh marine transport,",private equity,35732275.05,2019,10
101,2019-04-13,tripoto,social media,travel,new delhi,"orchid india, hornbill orchid india fund, chiratae ventures (formerly idg ventures), 3one4 capital, lasmer nv",series b,297976383.75,2019,4
102,2019-12-04,azah,health and wellness,organic wellness,gurgaon,unnamed angel investors,seed,16594000.0,2019,12
103,2019-11-04,setu,fintech,banking,bengaluru,lightspeed india partners,seed,290395000.0,2019,11
104,2019-10-04,toppr,edtech,e-learning,mumbai,milestone,debt,524438435.4,2019,10
105,2019-10-04,craftsvilla,e-commerce,fashion and apparel,mumbai,supera pte ltd,inhouse,202736780.15,2019,10
106,2019-10-04,unacademy,edtech,e-learning,bengaluru,kalyan krishnamurthy,seed,25471790.0,2019,10
107,2019-11-04,clevertap,saas,mobile analytics and marketing,mumbai,"sequoia india, tiger global management, accel",series b,2157220000.0,2019,11
108,2019-04-19,my healthcare,e-commerce,software solutions,bengaluru/gurugram,sixth sense ventures,series a,248910000.0,2019,4
109,2019-04-19,krazybee,e-commerce,lending platform,bengaluru,"bac acquisitions, unifi aif, brd securities, northern r capital",debt,1189955740.0,2019,4
110,2019-04-17,shuttl,transportation,bus aggregation,gurgaon,new atlantic ventures,venture,414850000.0,2019,4
111,2019-04-17,increff,technology,supply-chain technology solutions,bengaluru,"021 capita, binny bansal",series a,248910000.0,2019,4
112,2019-01-02,fleetx,ai,logistics,gurgaon,india quotient and letsventure\\xe2\\x80\\x99s angel fund,pre series a,,2019,1
113,2019-08-02,zilingo,ecommerce,fashion & apparel,india/singapore,"sequoia capital and temasek holdings, edbi, burda principal investments, and sofina",series d,18751220000.0,2019,8
114,2019-02-13,nanoclean global,nanotechnology,anti-pollution,new delhi,"letsventure, pitchright venture, 91springboard, al nour international holdings and mark v investments",series a,49782000.0,2019,2
115,2018-02-14,oyo,hospitality,budget rooms,gurgaon,didi chuxing,equity,8297000000.0,2018,2
116,2019-03-01,cardekho,automobile,online marketplace,jaipur,"sequoia india, hillhouse capital, alphabet\\xe2\\x80\\x99s growth investment arm capital g and axis bank",series c,9126700000.0,2019,3
117,2019-04-01,vyome therapeutics,health and wellness,specialty pharmaceutical,india/us,"iron pillar, perceptive advisors, romulus capital and kalaari capital",series d,1825340000.0,2019,4
118,2019-04-01,samunnati financial intermediation and services,finance,non-banking financial company,chennai,"massif, a dutch government fund",debt,414850000.0,2019,4
119,2018-04-12,manch,social media,hyperlocal content,delhi,stellaris venture partners,seed,58079000.0,2018,4
120,2018-01-12,urban company,services platform,home services marketplace,new delhi,steadview capital and vy capital.,series d,4148500000.0,2018,1
121,2018-02-12,guiddoo,travel tech,platform for travel agents,mumbai,individual investors,pre-series a,66376000.0,2018,2
122,2018-02-12,career anna,online education,"video-based certification, trainings",gurgaon,individual investors,pre-series a,47458840.0,2018,2
